username,profile_uri,comment_date,hotel_name
Carmen wong,https://www.tripadvisor.com.tw/Profile/781621,8月3日,丰居旅店雙連館 (中山區)Via Hotel Loft
熒火1984,https://www.tripadvisor.com.tw/Profile/ChrisLo1984,2019年7月,丰居旅店雙連館 (中山區)Via Hotel Loft
Afan_H,https://www.tripadvisor.com.tw/Profile/Afan_H,2019年7月,丰居旅店雙連館 (中山區)Via Hotel Loft
Jessic370,https://www.tripadvisor.com.tw/Profile/Jessic370,2019年7月,丰居旅店雙連館 (中山區)Via Hotel Loft
William Lau,https://www.tripadvisor.com.tw/Profile/WilliamKCLau,2019年7月,丰居旅店雙連館 (中山區)Via Hotel Loft
taipeilover2019,https://www.tripadvisor.com.tw/Profile/taipeilover2019,昨天,悠逸商旅 (士林)UiNN Business Hotel
Wayne Kelso,https://www.tripadvisor.com.tw/Profile/WayneKelso,2019年7月,悠逸商旅 (士林)UiNN Business Hotel
Jiawei_Lin,https://www.tripadvisor.com.tw/Profile/Jiawei_Lin,2019年5月,悠逸商旅 (士林)UiNN Business Hotel
Shan0991,https://www.tripadvisor.com.tw/Profile/Shan0991,2019年5月,悠逸商旅 (士林)UiNN Business Hotel
Lily Pan,https://www.tripadvisor.com.tw/Profile/lily0818,2019年4月,悠逸商旅 (士林)UiNN Business Hotel
Felix N,https://www.tripadvisor.com.tw/Profile/Felix5,8月8日,台北中山意舍酒店 (中山區)amba Taipei Zhongshan
Gwegweguagua,https://www.tripadvisor.com.tw/Profile/Gwegweguagua,2019年7月,台北中山意舍酒店 (中山區)amba Taipei Zhongshan
Noelli Y,https://www.tripadvisor.com.tw/Profile/nsbyap,2019年7月,台北中山意舍酒店 (中山區)amba Taipei Zhongshan
~阿飄,https://www.tripadvisor.com.tw/Profile/k26782002,2019年7月,台北中山意舍酒店 (中山區)amba Taipei Zhongshan
dawi67,https://www.tripadvisor.com.tw/Profile/dawi67,2019年5月,台北中山意舍酒店 (中山區)amba Taipei Zhongshan
kwan,https://www.tripadvisor.com.tw/Profile/kwan0008,2019年7月,路徒行旅 (中正區)Roaders Hotel
